,Date,Home Team,Away Team,Result,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,GG,NG,HTeam,HM,HG,HGA,HPTS,HxG,HxGA,HPPDA,HOPPDA,HDC,HODC,HPTS/M,ATeam,AM,AG,AGA,APTS,AxG,AxGA,APPDA,AOPPDA,ADC,AODC,APTS/M
0,11/11/2023,Wolverhampton Wanderers,Tottenham,,3.1,3.65,2.2,1.65,2.27,1.53,2.4,Wolverhampton Wanderers,11,14,19,12,15.01,21.66,12.0,9.29,6.454545454545454,10.363636363636363,1.0909090909090908,Tottenham,11,23,13,26,21.17,16.97,7.72,11.41,13.363636363636363,6.636363636363637,2.3636363636363638
1,11/11/2023,Manchester United,Luton,,1.35,5.2,8.5,2.4,1.57,1.85,1.88,Manchester United,11,12,16,18,15.69,19.36,12.38,15.11,10.0,7.818181818181818,1.6363636363636365,Luton,11,10,21,6,15.25,27.87,17.54,7.17,5.181818181818182,10.363636363636363,0.5454545454545454
2,11/11/2023,Crystal Palace,Everton,,2.45,3.25,3.0,2.25,1.65,1.91,1.83,Crystal Palace,11,10,13,15,13.48,16.57,13.43,8.02,5.363636363636363,9.363636363636363,1.3636363636363635,Everton,11,11,15,11,19.01,16.02,15.31,10.62,5.363636363636363,7.909090909090909,1.0
3,11/11/2023,Arsenal,Burnley,,1.2,6.6,15.0,2.18,1.7,2.07,1.7,Arsenal,11,23,9,24,20.42,10.72,9.25,19.03,9.818181818181818,5.909090909090909,2.1818181818181817,Burnley,11,8,27,4,10.12,21.47,13.07,13.48,5.181818181818182,8.909090909090908,0.36363636363636365
4,11/11/2023,Bournemouth,Newcastle United,,4.75,4.0,1.7,1.65,2.25,1.65,2.15,Bournemouth,11,9,27,6,12.79,26.46,11.91,7.79,7.818181818181818,12.636363636363637,0.5454545454545454,Newcastle United,11,27,11,20,25.95,10.32,10.22,13.09,6.7272727272727275,5.7272727272727275,1.8181818181818181
5,12/11/2023,Liverpool,Brentford,,1.4,5.0,7.3,2.18,1.7,1.65,2.15,Liverpool,11,24,10,24,26.77,14.13,9.18,17.57,11.454545454545455,6.181818181818182,2.1818181818181817,Brentford,11,19,14,16,21.86,15.3,10.67,11.4,8.818181818181818,7.909090909090909,1.4545454545454546
6,12/11/2023,Brighton,Sheffield United,,1.25,6.3,10.75,2.02,1.8,1.85,1.9,Brighton,11,24,20,18,20.99,17.29,8.63,15.6,10.272727272727273,7.2727272727272725,1.6363636363636365,Sheffield United,11,9,30,4,8.39,28.61,15.59,8.96,3.5454545454545454,10.636363636363637,0.36363636363636365
7,12/11/2023,Aston Villa,Fulham,,1.62,4.1,5.4,1.7,2.18,1.7,2.07,Aston Villa,11,26,16,22,22.1,15.92,14.31,11.83,11.090909090909092,6.181818181818182,2.0,Fulham,11,9,17,12,12.23,19.01,13.87,12.45,6.454545454545454,8.363636363636363,1.0909090909090908
8,12/11/2023,West Ham,Nottingham Forest,,1.9,3.65,4.0,1.83,1.98,1.72,2.05,West Ham,11,18,20,14,16.97,22.6,16.47,9.92,5.363636363636363,10.090909090909092,1.2727272727272727,Nottingham Forest,11,12,15,13,12.42,17.13,20.23,10.34,5.181818181818182,9.818181818181818,1.1818181818181819
9,12/11/2023,Chelsea,Manchester City,,4.5,3.85,1.75,1.82,2.0,1.75,2.0,Chelsea,11,17,12,15,23.29,13.43,8.54,16.42,11.818181818181818,5.2727272727272725,1.3636363636363635,Manchester City,11,28,8,27,24.71,7.8,12.54,20.83,12.454545454545455,4.363636363636363,2.4545454545454546
10,25/11/2023,Manchester City,Liverpool,,1.7,4.25,4.45,2.27,1.65,1.53,2.4,Manchester City,11,28,8,27,24.71,7.8,12.54,20.83,12.454545454545455,4.363636363636363,2.4545454545454546,Liverpool,11,24,10,24,26.77,14.13,9.18,17.57,11.454545454545455,6.181818181818182,2.1818181818181817
11,25/11/2023,Burnley,West Ham,,3.1,3.55,2.25,1.8,2.02,1.62,2.2,Burnley,11,8,27,4,10.12,21.47,13.07,13.48,5.181818181818182,8.909090909090908,0.36363636363636365,West Ham,11,18,20,14,16.97,22.6,16.47,9.92,5.363636363636363,10.090909090909092,1.2727272727272727
12,25/11/2023,Newcastle United,Chelsea,,2.18,3.55,3.25,1.82,2.0,1.65,2.15,Newcastle United,11,27,11,20,25.95,10.32,10.22,13.09,6.7272727272727275,5.7272727272727275,1.8181818181818181,Chelsea,11,17,12,15,23.29,13.43,8.54,16.42,11.818181818181818,5.2727272727272725,1.3636363636363635
13,25/11/2023,Luton,Crystal Palace,,3.6,3.4,2.1,2.18,1.7,1.93,1.82,Luton,11,10,21,6,15.25,27.87,17.54,7.17,5.181818181818182,10.363636363636363,0.5454545454545454,Crystal Palace,11,10,13,15,13.48,16.57,13.43,8.02,5.363636363636363,9.363636363636363,1.3636363636363635
